action step p car_position s state_reward1 transition_reward1 state_reward2 transition_reward2 state_reward3 transition_reward3
- 0 2 20 0 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_20] 1 2 20 -7 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_20] 2 1 20 -2 0.0 0.0 0.0 0.0 0.012469 0.0
[move_0_20] 3 2 188 0 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_188] 4 2 188 -7 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_188] 5 2 188 -10 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_188] 6 1 188 4 0.0 0.0 0.0 0.0 0.0 0.0
[changelane_188] 7 1 188 -2 0.0 0.0 0.0 0.0 0.031631 0.0
[move_0_188] 8 2 190 0 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_190] 9 2 190 -7 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_190] 10 1 190 -2 0.0 0.0 0.0 0.0 0.013052 0.0
[move_0_190] 11 2 191 0 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_191] 12 2 191 -7 0.0 0.0 0.0 0.0 0.0 0.0
[hazard_191] 13 1 191 -2 0.0 0.0 0.0 0.0 0.037201 0.0
[term_191] 14 2 324 0 0.0 0.0 0.0 0.0 0.0 0.0
[term] 15 2 324 -11 0.0 0.0 0.0 0.0 0.0 0.0
