action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 1 46 6
[uturn_46] 4 1 26 -2
[move_1_26] 5 2 45 0
[hazard_45] 6 2 45 -6
[hazard_45] 7 2 45 -9
[hazard_45] 8 1 45 1
[changelane_45] 9 1 45 -2
[move_0_45] 10 2 38 0
[hazard_38] 11 2 38 -7
[hazard_38] 12 1 38 -2
[move_0_38] 13 2 29 0
[hazard_29] 14 2 29 -7
[hazard_29] 15 1 29 -2
[move_1_29] 16 2 4 0
[hazard_4] 17 2 4 -7
[hazard_4] 18 1 4 -2
[move_1_4] 19 2 2 0
[hazard_2] 20 2 2 -7
[hazard_2] 21 1 2 -2
[move_0_2] 22 2 9 0
[hazard_9] 23 2 9 -7
[hazard_9] 24 1 9 -2
[term_9] 25 2 51 0
[term] 26 2 51 -11
[term] 27 2 51 -11
